No.,Social_acceptance,Comment
954,No,"যাক,তার মানে কি আপনার ছেলে হবে নামটাও সুন্দর রেখেছেন। ইনশাআল্লাহ দেশের সর্বোচ্চ সুবিধা ও কোটার অধিকারী হবে"
955,No,নোবেল এত সুন্দর পোস্ট কেমনে খুজে পেল
956,No,তোকে খেলাইছে ছোটো বেলায় চিরিয়াখানার জন্তু আবাল ওর বেটির বাসিয়া মুথখাইস
958,No,কিন্তু আপনার বউতো বলতেচে সে প্রেগন্যান্ট নাহ ।
959,No,আমার জেলার শ্রেষ্ট পাগল!
960,No,তোরে জুতা পেটা করবে সবাই ।
961,No,এমন পোষ্ট ক্লাস ৬-৭এ থাকতে দিতাম
962,No,"তুমি না মরে গেছো, তাহলে কে তোমার আইডি চালাচ্ছে"
963,No,দামে কম মানে ভালো কাকলী ফার্নিচার।
964,No,পরি আপু ভালো মাইয়া
965,No,পরিমনির আম গুলা বড বড
966,No,উফফ সানি লিওনি তো সেই
967,No,আপনার জাম্বুরা অনেক বড়
968,No,"তুমিও মজা পাইছ,,আমিও মজা পাইছি,, আপাতত নিরব থাকো।"
969,No,ট্যানারির ব্যবসা তো বহু মানুষ ই করে প্রতি কোরবানি ঈদে দেখা যায় ব্যবসায়িরা কপালে হাত দিয়া কাঁদে ! তাহলে পরিমনির ট্যানারির এত মুল্য কেনো ৫০ লাখ তারপরও মানুষ কিনে!
970,No,"আমি কুমিরের খাঁচায় গিয়ে বলবো, আমাকে স্পর্শ করো না, তা হয় না। ক্লাবে বা বারে কি হয়? কে না জানে ওখানে কী হয়!"
971,No,ও খালা এত বট বট না খইরা আগে প্রোফাইল টা বদলান।
972,No,বাংলার সানি লিয়ন পরিমনি
973,No,বাংলার সানি আপু
974,No,"লজিকালি ব্যাপারটা এমন না।ব্যাপারটা যেমন ব্যাপারটা তেমন।যদি বলি বুঝবেন না না বললেও বুঝবেন না। তাই বলছিনা, বলার ইচ্ছা ছিল বাট বললে বুঝবেন কেম্নে না বললেও ত বুঝবেন না তাই বলছি ব্যাপারটা এমন না।বুঝবেন কিন্তু বুঝবেন না, এভাবে বুঝালেও বুঝবেন না।তাই যেভাবেই বুঝাই না কেন মূল কথা হল আপ্নি বুঝবেন না। তাই আর বুঝাইলাম না.."
975,Yes,আমি ছন্নছাড়া বদমেজাজি নিজেও তা মানি।তুমি আগলে রেখো আমি ভালোবাসতে জানি
976,No,মডেলিং এর জন্য কি আর কোনো কালার ছিলা না?
977,No,ভাই কেউ আবার আয়মান সাদিক ভাইকে সহ ১৯০০ কিনা জিজ্ঞেস করিয়েন না।
978,No,পিংক কালা আমরা পড়ি না
979,No,আমার মাথায় আসে নাহ কেন তোর পোস্ট গুলা আমার নিউসফেড এ আসে তোর পেজ এ আমার লাইক নাই এবং কি ফলো ও নাই
980,No,এই লোকটা সবসময় জাঙ্গিয়া পরে থাকে কেন?
981,No,হাপ্পেন্ডা পিন্দা উছিত অইছে না। না পিনলে ভালা অইতো!
982,No,রান দেখোরি নাকিহুন্ডা দেখোরিভাই?
983,No,"বদ্দা তোমার পোষ্টে আর কমেন্ট করা যাবে না হেব্বি পাওয়ার তোমার পাছায়,এক কমেন্ট করেই ৭ দিনের ব্লকে ফালাইছে তোমার ফেন রা"
984,No,উফফফ আজ রাত আর ঘুম আসবে না
985,No,তোমার গায়ের ট্রি সাট টা পাওয়া যাবে
986,No,অভদ্র হয়েছি আমি তোমারি প্রেমে আয়াহা
987,No,দেশী মাল ফরেন ফ্লেভার
988,No,বুক চিন চিন করছে হায় মন তোমায় কাছে চায়
989,No,সৌভিক সেরা নর্তকী
990,No,লাল চুল ওয়ালাডারে বান্দরের ছাও মনে হইছে
991,Yes,এরকম মূহুর্তে এক ঝটকা বাতাস ই যথেস্ট
992,No,হুজুরে খেজুর পারতে গিয়া নিজের খেজুরের খবর রাখেনা
993,Yes,স্টাইলটা জোস
994,No,প্রচন্ড বাতাসে এনাম লুংগি পরে আটলান্টিকের পাশে
995,No,দাদা লিচুর বিচির মাঝখান দিয়া কলা তা ঝুলে পরসে
996,No,এনাম ভাইয়ের নিছে আছে দুইটা বিচি
997,No,দক্ষিনা বাতাসে ইচিং করে লুংগিটা আকাশে যদি দেখিয়া পেলি বিচি দুইটা গাছের আগাতে
998,No,তোমার জানি ইচিং মার্কা কপাল
999,No,আপনি তো মিয়া অনেক ফাজিল আপনার দাদারেও আপনি ছাড়লেন না। শেষ মেষ দাদার লুংগি পরে আটলানটিকের পাশে শুয়ে আছেন।লজ্জা থাকা দরকার
1000,No,এনাম ভাই এর লুংগির নিসেআসে দুও বিচে
1001,Yes,বাতাস কোথায় ?
1002,No,বাতাস থাকলে লুঙ্গি ওড়ে না কেন
1003,No,বিচির দিকে তাকিয়ে কেন
1004,No,লুঙ্গির উপর একটা গিট্টু দিয়ে রাখেন নইলে সমুদ্র সৈকতে বেড়াতে আসা কুকুর বাতাসে উড়ে যাওয়া লুঙ্গির নিচে মেশিন দেখলে ভয় পাবে
1005,No,"এগুলো সেই বাড়ি গুলা না, সেগুলা প্রধানমন্ত্রী গরীব, দুস্থদের দান করেছিল"
1006,No,শশুরের কাছ থেকে যৌতুকের টাকা নিয়ে এমবি কিনে আপনার পোস্ট এ হাহা দিলাম
1007,No,আমি বিচিতে টোকা দিতে চাই
1008,No,সুন্নতে খতনা করার পরে এনাম ভাইয়ের বর্তমান অবস্থা
1009,No,হাংগর এসে বিচি কামড়ে দিলে বাতাস খাওয়ার শখ মিটে যাবে বুঝলা তখন সবাই বিচি ছাড়া সিংহ ডাকবে
1010,No,এইরকম চেগাইয়া থাকলে কি মার্কেট পাওন যাইবো
1011,No,ভাই বিচি দেখা জাইতাসে
1012,No,ভাই তোমার ইচিং বিচিং দেখা যাচ্ছেপরিমনী হামলা করার আগে বিচিং টাকে থামান
1013,No,"এনাম ভাই দুধ চোর, বিচির মদ্দে টোকা দিয়ে দুম দোর"
1014,No,লুঙ্গি পড়ে সো অফ করছো য়ামি বুজছি
1015,No,এনাম ভাইরে তানিমা খুজতেছে কারণ তামিম আর নেক্সট টার্গেট এনাম ভাই
1016,No,হাজারও মেয়ের ঘুম কাড়া একটি স্যাটা ভাঙ্গা ছবি।
1017,No,আমার সালা
1018,No,এ বেডা এনাম।তুই কি ফাইজলামির হোগা মারো?
1019,No,সয়তান বিয়ে করা সুন্নাত
1020,No,আমার সহকর্মীর সাথে এমন অন্যায় তীব্র নিন্দা জানাই
1021,No,এভাবে ভেজা বিড়ালের মত থাকলে তো হবে না হুংকার দিতে হবে
1022,No,বউডার ছবি ভাইরাল করা দরকার ছিল
1023,No,দুইজন এই মজার মানুষ
1024,No,একটুর জন্যে আম্পায়ার এর বিচিতে লাগিনে এনাম ভাই। ই নিয়ে একটা হুংকার চাই
1025,Yes,"অন্যায়ের প্রতিবাদে মুগ্ধ নবাব ,, অন্যায়ের প্রতিবাদ করার কলিজা সবার মধ্যে থাকে না ,,অবিরাম ভালোবাসা প্রিয় সাকিব আল হাসান (বাংলার নবাব)"
1026,Yes,স্যালুট সাকিব ভাই
1027,No,সাকিবঃ ধুর তর মারে চুদি
1028,No,"ফ্রান্সের প্রেসিডেন্ট কে থাপ্পড় মারায় শাস্তি হলো তিন মাস জেল,,সেখানে সুজন, আকরাম,পাপনের বিচিতে লাথি মারলে কি এমন হবে..?? প্রতিবাদী সাকিব আল হাসানের সাথে আছি,,,"
1029,Yes,এই প্রথম আপনার পোষ্টে লাভ দিলাম।।নিজেকে ধন্য মনে করছি।।
1030,No,লাথি মার সকল অন্যায়ের বিরুদ্ধে! সংবিধিবদ্ধ সতর্কীকরণঃ ক্রিকেট যেহেতু ভদ্রলোকের খেলা হিসেবে পরিচিত তাই মাঠে মাথা ঠান্ডা রাখুন! #স্টে_ক্রিকেটখোর
1031,No,ওহে সাহসী সিংহ-আপনিও পোস্ট কপি করেন?
1032,No,বিশ্বের সেরা বিয়াদব বাল হাসান
1033,No,শাকিব আল হাসান তো স্টাম্প লাথি মারছে আমি হোলি আম্পায়ারের মেইন জাগায় লাথি মার তাম
1034,No,"এনাম তোর বিচিতে ঠাস ঠাস করে দুইটা টোকা দিতে ইচ্ছা করতেছে,,,"
1035,No,আপনার গর্জনেই সাকিব এতো সাহস পেয়েছে এই কান্ড ঘটানোর। ধন্যবাদ প্রিয় এনামিংহ।
1036,No,দেখতেই তো চোরের মত লাগে
1037,Yes,"বাংলাদেশী কিন্তু, আপনি হচ্ছেন আসল আপডেটেড মানুষ"
1038,No,নোবেলের পাগলা ভূত আপনার ঘাড়ে চাপছে?
1039,No,"ডোজ বেশি মারছিলি নাকি,আল্লাহকে ভয় করিস"
1040,No,কমদামি গাঁজা সেবন করলে যা উপসর্গ দেখা যায় তা এই পোস্টে বিদ্যমান
1041,Yes,চা ঢেলে দেই ভাইয়া!
1042,Yes,আমি টাকা দিয়ে শিখতে চাই
1043,No,মানুষে মরার আর জায়গা পায়না
1044,No,"ভাইয়া আপনি গাঁজা ও খান,,,আগে জানতাম না তো,,,"
1045,Yes,২য় প্রশ্নের উত্তর আপনি নিজেই
1046,Yes,আপনার পোষ্ট আমার টাইমলাইনে কিভাবে আসে। ফেসবুকের কাজ কাম দেখলে মাঝে মাঝে...
1047,Yes,আহংকার পতনের মূল কারন!!
1048,Yes,অনেক সুন্দর বলছেন ভাইয়া
1049,No,"জয় বাংলা নাসিম ভাইরে কেউ সামলা। এই সরকার আর ২০বছর ক্ষমতায় থাকলে সবাই আওয়ামীলীগার হয়ে যাবে, দেশে বিরোধী দলের নেতা কর্মী ই থাকবেনা।"
1050,No,আমিলিগের হোন্দানি খেয়ে বুঝি জয় বাংলা মারাও?
1051,Yes,মানিয়েছে বেশ
1052,No,"আমার মনে হয় হা হা রিয়েক্ট ধারী অধিকাংশ মানুষই হিজড়া।বাজে কিছু লেখার আগে দশবার চিন্তা করবেন কারণ আমি যদি বাজে কিছু লিখি সেটা শুনার মতো ক্ষমতা হা হা রিয়েক্ট ধারী মানুষের থাকবে না।নিচু মানসিকতা, দুর্বল , অসুস্থ রোগীরা ইদানীং হা হা রিয়েক্ট বেশি দিচ্ছে।"
1053,No,তেলবাজি ছেড়ে ভাল হয়ে যাও নাসিম।
1054,Yes,আনফলো করবো খুব শিঘ্রই।মুখের উপর এমন শ্লোগান আর ভাল লাগে না
1055,Yes,বাংলা সিনেমার নায়ক জসিম উদ্দিন
1056,No,মূর্খ তুই
1057,No,"আপনি আওয়ামীলীগ দল করবেন এটা কখনো ভাবি নাই, যাক সেটা আপনার পসন্দ"
1058,No,"প্রতিক মারছেন, কিন্তু শ্লোগান পুরোটা মারলেন না কেন?"
1059,No,কিরে সুবিধা পাটি এইটা কি বাকিছিল
1060,No,"ভাই এই হিরো আলমের নাম কয়টা রে ভাই,জিরো আলম, মেম্বার আলম,এমপি আলম,।আর কি কি হতে পারে আপনারা বলুন।"
1061,Yes,হিরো আলম কোন দিন থেকে আবার নাচ শিখলো
1062,No,হিরো আলম বাংলাদেশের পাগল
1063,Yes,হাইব্রিট কেপে উঠিলো লেখা গুলো পড়িয়া
1064,No,তোমার মত ভোদাইয়ের কাছ থেকে ফ্রিল্যান্সিং শেখে কোন ভোদাই সেটা দেখার জন্য পেজে ফলো করা
1065,No,কি ভাইয়া শয়তানে লারে তোমারে
1066,Yes,আপনার প্রানের প্রিয় মারুফ আমার কাছ থেকে টাকা নিয়ে গেছে।
1067,Yes,ভাই আমি আপনার অফিস / ফ্লাট দুটোই পরিষ্কার করে দিবো
1068,No,আপনি আসলেই একটা মূর্খ।জ্ঞানী মানুষের কথা এমন হয় না।বাংলাও ভালোমতো লিখতে পারেন না।একটা পোস্টে কম করে হলেও ৪-৫ বানান ভুল থাকে।
1069,Yes,আর একটু হলে রক্তচাপ বেড়ে যেত
1070,Yes,মাসুদ তুমি কি কখনও ভালো হবা না
1071,Yes,আপনার কাছ থেকে ভালো কিছু আশা করা যায় না
1072,Yes,হঠাৎ করে টাকার দেখা পেয়েছেন তো তাই মুখের ভাষা ঠিক নাই।
1073,No,তোমারে যে লাভ রিয়াক্ত দিছে তার মুখে জুতা মারি
1074,No,"আপনি আসলেই একটা বোকা(**)চন্দ্র। কে গালি দিলো,বাজে কমেন্ট করলো এগুলা দেখা আর ভাবাই কাজ। পারসোনালিটি লেস একটা মানুষ।"
1075,Yes,কলিজায় লাগলো কেউ একটু ওরে বুঝাও
1076,Yes,"তুমি বারা লোক সুবিধার না,"
1077,Yes,আপনার উপর আক্ষেপ আমার একটাই আপনি কারো কথা হজম করতে পারেন না। আমার এই আইডিটা রিয়েল না। আমার রিয়েল আইডি দিয়ে আপনার গ্রুপ পায়না কেন?
1078,Yes,নাসিম ভাই = আমাকে কেউ কি ফ্রীতে পরিষ্কার কইরা দিবেন? লে জনগন = এ আগে টাকা দে নাইলে কিন্তুু সব খুইলা দিমু
1079,Yes,শিখবো
1080,No,মাথা ঠান্ডা রাখ নাসিম ভালো হয়ে যাও!
1081,No,ব্রাজিল জুতা চোর
1082,No,তুমি এক হেডা তারপর তুমি সাপোর্ট করো আরেক হেডা সব মিলায় তুমি বিরাট বড় হেডা
1083,No,হয় ব্রাজিল রিয়েল?আর বাকি গুলা আকাশ থেকে পড়ছে তো?
1084,Yes,মাই ফেভারিট টিম মানেই ব্রাজিল ব্রাজিল ব্রাজিল
1085,No,"জয় বাংলা, নাসিম এবার লুংগি সামলা।"
1086,Yes,কমেন্ট গুলো দেখে আমি শিহরিত
1087,No,আপনি কয় টাকার মালিক?
1088,Yes,বাহ তোমার হাত গুলা তো খুব সুন্দার
1089,No,ব্রাজিলের সাপোর্টাররা সব সময় মন উজ্জ্বল হয়
1090,Yes,"প্রযুক্তি বিষয়ে জানতে, এ পেইজ থেকে ঘুরে আসার দাওয়াত রইল..."
1091,No,নাসিম ভাইকে ফ্রিলান্সার লীগ এর সভাপতি পদে দেখতে চাই....
1092,No,আমায় একটা প্রমোট দাও তো
1093,No,জয় বাংলা নাকটা সামলা
1094,No,নাসির কে ফ্রিল্যান্সার লীগের সভাপতি হিসেবে দেখতে চাই!!
1095,No,গালাগালি করার ইচ্ছা থাকলে রিপ্লাই দিও
1096,Yes,আমি যদিও নাসিম ভক্ত বা নাসিম ফলোয়ার না। কিন্তু কেন জানি নাসিমের পেজ আমার সামনে চলে আসে আর মাঝে মাঝেই তার পোস্টের কমেন্টগুলো পড়ি যেখানে ৯৫% কমেন্টে তার বিপক্ষে। অনেক গুলাতে আবার গালিগালাজে ভরপুর এত বাজে কমেন্ট নিয়ে একজন মানুষের পোস্ট করার মন-মানসিকতা থাকে কেমনে সেটাই আমার মাথায় বারবার ঘুরপাক করে...
1097,No,ভাই তুই বাক্সে ডুইকা যা৷ পাবলিক যে হারে রাইগা কমেন্ট করতাছে রাস্তায় পাবলিক তোরে দেখলে তুই শেষ ।
1098,No,ফকিন্নি একটু ভালো কিছু করতে পারলে যা হয় আরকি। ফকিন্নি যতই বড় লোক হোক না কেন তার স্বভাব টা ফকিন্নির মতই থাকে! এটা তোমায় দেখে আবার প্রমাণিত হলো!
1099,No,খাইয়া কাম নাই
1100,No,আয়মান সাদিক তো হাজারো রকমের পোষ্ট দেয় কেউ হাহা বা গালি দেয়না। মানুষ আপনাকে গালি দেয় কেন? অবশ্যই আপনি সেই গালির যোগ্য বলে
1101,No,আপনি বুঝাতে চেয়েছেন করোনা ভাইরাসের সাথে আওয়ামী ভাইরাসের সম্পর্ক আছে।। ঠিক কিনা ভাই??
1102,No,অবশেষে নৌকা নিজের মুখে লাগায়ে দিলেন
1103,Yes,"রাগ প্রতিটি মানুষের আছে থাকবে কারন মানুষ ত আর রোবট দিয়ে তৈরি হয় নাই,রক্তে মাংসের তৈরি,তা ছাড়া আপনী বিয়ে করেন একটা,না করে দশ টা বিয়ে করেন কোন আপত্তি নেই,আমার আপত্তি সেখানেই আপনী একটি মুসলিম পরিবারের সন্তান,আপনী একজন মুসলিম মেয়ে,একজন শতভাগ মুসলিম মেয়ে হয়ে কি করে,কিভাবে সম্ভব হলো আপনী একটা ভিন্ন ধর্মের মানুষ কে বিয়ে করার,সব চেয়ে বড় কথা হলো আপনী বিবাহিত বাংলাদেশের যুবসমাজ আপনার আর তাহসানের ভালোবাসা কে এবং আপনাদের সংসার জীবন কে বাংলার যুবক যুবতীরা আইডল হিসেবে দেখতো,কত কত ছেলেমেয়েরা রাস্তায় আন্দোলন পর্যন্ত করেছে যে আপনাদের দুজনকে মিলিয়ে দিতে,আর আপনে এমন একটা কান্ড ঘটিয়ে দিলেন যা শুধু রাগ না ঘৃনা প্রকাশ ছাড়া আপনাকে দেবার মত আমার কিছুই নেই,ছি: ছি: ছি: ধিক্কার জানাই আপনাকে।"
1104,No,"মিথিলা আন্টি আর কত? আপনার কি আসলে পরকালের উপর বিশ্বাস আছে? যদি থাকত তবে এই জগতে থাকতে পারতেন না। প্রথমত এক বেধর্মীকে বিয়ে যা ইসলাম সমর্থন করা তো দূরের কথা উলটা কঠিন আজাবের কথা বলে। আবার চিত্রজগতের মতো নোংরা জগতে আছেন যা ইসলামে সম্পূর্ণ হারাম। যদি ইসলামকে সত্যিই বিশ্বাস করে থাকেন যদি সত্যিই মৃত্যুকে ভয় করে থাকেন যদি সত্যিই জাহান্নামকে ভয় করে থাকেন তাহলে ওই বেধর্মীর কাছ থেকে ফিরে এসে প্রয়োজনে কোনো মুসলিমকে বিয়ে করে নিন। আর বাকি জীবন আল্লাহ ও তার রসূলের দেখানো পথে পরিচালিত করুন। আমার মা নেই, গত দেড় বছর আগে মারা গেছেন। কিন্তু আমার মায়ের বয়স আর আপনার বয়স প্রায় সেইম। ৩-৪ বছরের ডিফারেন্স হবে। তাই আপনার প্রতি পূর্ণ রেসপেক্ট নিয়েই মায়ের মতো সম্মান শ্রদ্ধা করেই কথাগুলো বললাম। মানা না মানা আপনার ব্যাপার। জানি না, আপনার চোখে আমার কমেন্ট পড়বে কিনা। যদি পড়ে আশা করব কথাগুলো পর্যালোচনা করে দেখেবন আর আমার কথায় মনে ব্যাথা পেয়ে থাকলে আমি দুঃখিত।"
1105,Yes,"শুধু আমার নয় ১৯৯০/২০০০ সালে বাংলাদেশ এ জন্ম নেয়া সকল ছেলে মে দের পচ্ছন্দের দুইজন তারকা/তারকা জুটি ছিলো এই দুজনের যাদের বিচ্ছেদ ঠেকাতে দেশের সর্ব উচ্চ বিদ্যাপিঠ এর শিক্ষার্থীদের মিছিল করতে হয়েছে টি,এস,সিতে আজকে হয়তো তাঁরা একসাথে থাকেনা কিন্তু তারা এখনো একজনকে অপরজন ভালো বাশে সম্মান করে, তাই যাঁরা মিথিলা কে নিয়ে বাজে মন্তব্য করেন তারা মনে রাখবেন আপনাদের কুরুচিপূর্ণ মন্তব্যর কারনে তাতে শুধু মিথিলা একা নয় তাহসান ও তাদের শুভাকাঙ্ক্ষীরা সমান মনখারাপ করে,,,বিঃদ্রঃ সামাজিক যোগাযোগমাধ্যমে যারা কুরুচিপূর্ণ মন্তব্য করেন তাদের হয়তো যানা নাই যে আপনি একটি পাবলিক পোস্ট এ যে কমেন্ট/মন্তব্য করেন তা আপনার কাছের লোকজনের নিকট প্রথম শোয়াপ হয়ে থাকে, আর আপনার FB তে কি আপনার পরিবারের সদস্যদের সাথে আপনার কানেক্ট নাই নাকি, হয়তো বা আপনার বোন, ভাই, চাচি,খালা,ফুপু তারা আপনার এই কুরুচিপূর্ণ মন্তব্য করেন তাদের মাথা নতোহয়,তারা আপনার ভিতরে থাকা পশুটাকে দেখে কিন্তু লজ্জায় ঘৃণায় কিছু বলেনা তাই কোথাও কোনো মন্তব্য করার আগে একবার কথাগুলো মনে করবেন আশা রাখী আপনাকে সঠিক ভাবে বুঝতে পারলাম।"
1106,Yes,"তাহসান আর মিথিলা এই দুইজন মিলে ডিভোর্স ব্যাপারটারে একটা এয়েস্থেটিক পর্যায়ে নিয়ে গেছে।বিচ্ছেদের পর বন্ধুত্বপূর্ণ সম্পর্ক রাখা খুবই ইতিবাচক একটা বিষয়। তাহসান,মিথিলার প্রণয়-বিচ্ছেদ আমরা অনেকেই ব্যাক্তিগত বলে এড়িয়ে গিয়েছি কিংবা মন্তব্য করা থেকে বিরত থেকেছি। স্পন্সর নিয়ে একটা পণ্যের বিপণনের জন্য তাদের ব্যক্তিগত সম্পর্ককে ব্যবসার উপকরণ বানিয়ে তারা যেভাবে লাইভে আসলেন আমার কাছে মনে হয়েছে এটা একটা ছ্যাচরামি ! তারা যদি কোন স্পন্সর ছাড়া সামনে আসতেন আমি হয়তো সাধুবাদ জানাতাম!ভাই, সম্পর্কটা ভাল থাকেনা বলেই মানুষ বিচ্ছেদে যায়। বিচ্ছেদে যাওয়ার পর সম্পর্কটাকে সুন্দর দেখানোর এই মিথ্যা আবেগের ভেতর কিছু নাই। সব ফাঁকা। খোলস।আপনি যদি মানুষের চোখের ভাষা পড়তে পারতেন, তাহলে আজ আপনি তাহসানের চোখের দিকে তাকিয়ে কেঁদে ফেলতেন; সত্যিই কেঁদে ফেলতেন... অধিকাংশ নারীই জানে না যে, পুরুষের চোখ কোন পাথর খন্ড নয়। ভীষণ আঘাতে বা ভীষণ একাকীত্ব নিয়ে সেও নীরবে গলে গলে যায়।"
1107,Yes,"আমাদের তরুণসমাজকে একটু ভুল শিক্ষা দেওয়ার উপক্রম চলছে। সে বিষয়ে কিছু লেখা দরকার বলে মনে করছি।দেখেন, তারকাদের লাইফ স্টাইলকে আমাদের তরুণ প্রজন্মের অনেকে ফলো করে। সুতরাং তারা যদি তরুণ প্রজন্মকে বিভ্রান্ত করে, সেটা হবে এদেশের সংস্কৃতির জন্য অত্যন্ত ক্ষতিকর।বাংলাদেশের সংস্কৃতি বলতে আমৃত্যু স্বামী স্ত্রীর অটুট বন্ধন। আমাদের পিতামাতা, দাদা-দাদি, নানা-নানি আমাদের এটিই শিখিয়েছেন। আমাদের পিতা মাতার মধ্যেও কথা-কাটাকাটি, মান অভিমান হয়। কিন্তু একে-অপরকে ছেড়ে চলে যায় না। ভালবাসার টানে তারা মতপার্থক্য ভুলে একসাথে সাথে থাকেন আমৃত্যু।এটাই হওয়া উচিত। একটা পরিবারের স্বামী স্ত্রীর মধ্যে সম্পর্কের বিচ্ছেদ মানে শুধু দুজনেই আলাদা হওয়া নয়, বরং ঐ দম্পতির যদি কোন সন্তান থাকে তার জীবনকে মা-বাবার এই বিচ্ছেদ পুরোপুরি ধ্বংস করে দেয়। তার স্বাভাবিক জীবনে নেতিবাচক প্রভাব পড়ে। সমাজের আট-দশটা ছেলেমেয়ের মত সে বড় হতে পারেনা। ছেলে বা মেয়েটি তার জীবনের শুরু হতেই মনস্তাত্ত্বিকভাবে চরমভাবে আঘাতের শিকার হয়।আমাদের পিতামাতারা সন্তানের মনস্তাত্ত্বিক আঘাতের এই চিন্তা করে নিজেদের সম্পর্ক আমৃত্যু ধরে রাখেন। আর একারণে বাঙালি সংস্কৃতি পৃথিবীর অন্যান্য দেশের সংস্কৃতি থেকে সুন্দর ও পরম মমতায় আবদ্ধ।ইদানিং, কতিপয় তারকাখ্যাত স্বামী স্ত্রীর মধ্যে ছাড়াছাড়ির ট্রেন্ড শুরু হয়েছে, (যেটা আমাদের বেড়ে ওঠার সময়ের তারকাদের মধ্যে দেখা যায় নি)। তারা মানুষকে যেটি বোঝানোর চেষ্টা করছে, বিচ্ছেদের পরে পরস্পরের মধ্যে বন্ধুত্ব থাকা জরুরি। বিচ্ছেদ মানুষের হতেই পারে। কিন্তু বিচ্ছেদের পরে একে অপরের সাথে বন্ধুত্ব রাখার অনেক নেতিবাচক দিক আছে।ছেলেটি বা মেয়েটির বিচ্ছেদের পরেও যখন একে অপরের সাথে নিয়মিত যোগাযোগ বা বন্ধুত্ব রাখে, তখন স্বাভাবিকভাবে অতীতের ভালবাসা ক্ষণেক্ষণে নিজের অবচেতন মনে পিছুটান তৈরি করে। এতে করে নতুন সংসারে ছেলে বা মেয়েটি মনোযোগ দিতে পারেনা। পিছুটান নিজের মধ্যে কাজ করে। এতে স্ত্রী বা স্বামীর ভালবাসা থেকে একপ্রকার বঞ্চিত হয় নতুন জীবনে যুক্ত হওয়া মানুষটি। সংসারেও তৈরি হয় মনোযোগহীনতা।ভাই, একে অপরের প্রতি যদি এমন বন্ধুত্বই তাদের জীবনে থাকতো, তাহলে একজন আরেকজনকে ছেড়ে কখনো চলে যেত না। এগুলো স্রেফ ভন্ডামি এবং বাঙালি সংস্কৃতিকে নোংরামির দিকে ধাবিত করা। আমাদেরকে এসব তথাকথিত বন্ধুত্বের দোহাই দিয়ে বরং বিচ্ছেদের প্রতি আকৃষ্ট করে তুলছে।আপনার আব্বা আম্মার মধ্যে বিচ্ছেদ হয়নি বলেই আপনি স্বাভাবিকভাবে বড় হতে পেরেছেন। ঠুনকো কারণে তারা একে-অপরের থেকে দূরে সরে গেলে আপনি পেতেন না এই সুন্দর-সাবলীল জীবন। সুতরাং অপসংস্কৃতি সকল চর্চা থেকে তরুণ প্রজন্মকে দূরে থাকা বড্ড জরুরি। অন্যথায় দেশ জাতি, নীতি নৈতিকতা সবকিছু ধ্বংস হয়ে যাবে।Rashed Khan"
1108,Yes,"লজ্জা লাগবেনা যখন তারদিকে তাকাবেন?. কত সুন্দর জীবন ছিলো, কত সুন্দর সংসার। সব ছেড়ে ""চাচা"" র মতো একজনকে বিয়ে করলেন। চাইলেতো নিজের মেয়েটারে নিয়েই সুন্দরভাবে সম্মানের সাথে জীবনটা পার করে দিতে পারতেন। আজ এতো হাসি তামাশার স্বীকার হতেন না। নিজের মেয়েটার জন্যও খারাপ লাগেনা, সে যখন বড় হবে তখন পিতৃ পরিচয় নিয়ে মানুষ প্রশ্ন তুলবে তার এই সমস্যাগুলোর দায় এড়াতে পারবেন ? বিবেকের কাছে একবারএ নিজেকে অপরাধী মনে হয়না? যখন তার সামনে বসবেন তখন হয়তোবা হাসিমুখে কথা বলবেন কারন দর্শক থাকবে, কিন্তু মনথেকে খারাপ লাগবেনা?আপনারমতো মানুষদের কারনে সমাজ আজ দূষিত। তাহসান হওয়াতে হয়তো হাসিমুখে থাকে সম্মান দেয় এখনো তবে আসলেকি আপনি সম্মান পাবার যোগ্য? বিবেকরে প্রশ্ন কইরেন।"
